rank,model_group,model,information_set,strategy_type,strategy_category,sharpe_net,ceq_gain_vs_always_short_gamma3_annualized,max_drawdown_diff_vs_always_short,pct_months_traded,avg_turnover,annualized_mean_return_net,max_drawdown,worst_monthly_return,hit_ratio
98,ML,Neural Network,HAR+Macro,short_only_threshold_half_sd,short_vol_risk_control,1.58823763528354,-0.875361191546168,1.94189722587977,0.296774193548387,0.32258064516129,1.62253903482181,-1.52112171227779,-1.23379630045065,0.793548387096774
99,Combination,Equal Weight,HAR+Option,binary_timing,long_short,2.65847611477666,-0.896130697743642,0,1,0.161290322580645,4.67510134567592,-3.46301893815756,-2.78845802651901,0.883870967741936
100,Combination,Equal Weight,HAR,scaled_long_short,scaled,1.32607029412629,-0.908325274449663,1.24617951684431,0.845161290322581,0.211465170141868,1.14770820789249,-2.21683942131325,-1.23379630045065,0.896774193548387
101,Benchmark,OLS HAR,HAR,scaled_long_short,scaled,1.26267069109823,-0.911907949179697,1.24608953411069,0.845161290322581,0.192666649412085,1.04197886956526,-2.21692940404687,-1.23379630045065,0.87741935483871
102,ML,PCA,HAR,scaled_long_short,scaled,1.26267069109823,-0.911907949179697,1.24608953411069,0.845161290322581,0.192666649412085,1.04197886956526,-2.21692940404687,-1.23379630045065,0.87741935483871
103,ML,Elastic Net,HAR+Macro,binary_timing,long_short,2.65138089360217,-0.913416206762488,0,1,0.135483870967742,4.66747656577558,-3.46301893815756,-2.78845802651901,0.890322580645161
104,ML,PCA,HAR+Macro+Option,scaled_long_short,scaled,1.45579556416686,-0.918149046053841,1.24621992892315,0.845161290322581,0.201169375754456,1.39848682291287,-2.21679900923441,-1.23379630045065,0.870967741935484
105,ML,Elastic Net,HAR+Macro,scaled_long_short,scaled,1.27496061960512,-0.921258430557178,1.24610529950639,0.845161290322581,0.195429481043147,1.07241519013416,-2.21691363865117,-1.23379630045065,0.890322580645161
106,Combination,PCA EW,Multiple,scaled_long_short,scaled,1.33236615478562,-0.924955089850819,1.2461431811454,0.845161290322581,0.190948895768534,1.175964785686,-2.21687575701217,-1.23379630045065,0.870967741935484
107,Naive,IV as RV Forecast,Option,binary_timing,long_short,,-0.93240913436331,3.46301893815756,0,0,0,0,0,
